n_XL_cov,n_XL_sat,frac_XL_sat,b1-e1,b2-e2,b1-b2,e1-e2,model
2,1,0.50,88.24,91.22,96.08,83.14,0
2,1,0.50,88.20,91.41,91.80,87.52,1
2,1,0.50,88.22,91.30,91.88,87.38,2
2,1,0.50,88.05,90.86,91.23,87.53,3
2,1,0.50,88.21,91.31,91.55,87.67,4
2,1,0.50,88.20,91.51,91.63,87.76,5
2,1,0.50,88.09,91.02,91.49,87.43,6
2,1,0.50,88.14,91.11,91.65,87.38,7
2,1,0.50,88.20,91.21,96.05,83.13,8
2,1,0.50,88.14,90.59,95.77,82.84,9
2,1,0.50,88.26,91.64,91.77,87.79,10
2,1,0.50,88.21,91.57,91.80,87.66,11
2,1,0.50,88.09,90.90,95.93,82.91,12
2,1,0.50,88.02,91.49,96.27,82.88,13
2,1,0.50,88.17,91.42,91.72,87.58,14
2,1,0.50,88.21,91.35,91.76,87.52,15
2,1,0.50,88.20,91.38,91.86,87.45,16
2,1,0.50,88.16,91.15,91.65,87.43,17
2,1,0.50,88.25,91.24,96.12,83.13,18
2,1,0.50,88.15,91.21,91.57,87.53,19
2,1,0.50,88.17,91.38,91.71,87.56,20
2,1,0.50,88.06,91.01,91.45,87.46,21
2,1,0.50,88.15,91.20,91.52,87.58,22
2,1,0.50,88.26,91.85,91.93,87.84,23
2,1,0.50,88.25,91.58,91.84,87.66,24
2,1,0.50,88.23,91.51,91.76,87.67,25
2,1,0.50,88.22,91.44,91.60,87.74,26
2,1,0.50,88.06,91.65,96.41,82.89,27
2,1,0.50,88.18,91.33,91.78,87.46,28
2,1,0.50,88.15,91.37,91.61,87.63,29
2,1,0.50,88.19,91.08,96.00,83.06,30
2,1,0.50,88.15,91.19,91.77,87.35,31
2,1,0.50,88.17,91.57,96.49,82.82,32
2,1,0.50,88.19,91.40,91.72,87.58,33
2,1,0.50,88.18,91.13,91.46,87.60,34
2,1,0.50,88.21,91.28,96.00,83.25,35
2,1,0.50,88.16,91.36,91.65,87.59,36
2,1,0.50,88.14,90.95,96.12,82.81,37
2,1,0.50,88.07,91.64,96.40,82.90,38
2,1,0.50,88.11,91.24,91.58,87.53,39
2,1,0.50,88.07,90.94,91.47,87.38,40
2,1,0.50,88.16,91.14,91.64,87.42,41
2,1,0.50,88.21,91.40,91.75,87.57,42
2,1,0.50,88.22,91.52,91.78,87.65,43
2,1,0.50,88.18,91.33,91.78,87.46,44
2,1,0.50,88.07,90.84,91.58,87.21,45
2,1,0.50,88.21,91.28,96.07,83.18,46
2,1,0.50,88.10,91.39,96.21,82.89,47
2,1,0.50,88.18,90.99,95.91,83.05,48
2,1,0.50,88.19,91.17,91.56,87.54,49
